job_title,job_description
Software Developer,"· Bachelor’s Degree in Computer Science or related degree· 2+ years professional experience in software development· Computer Science fundamentals in object-oriented design· Computer Science fundamentals in data structures· Computer Science fundamentals in algorithm design, problem solving, and complexity analysis· Proficiency in Java, C#, Scala, or other similar programming languages.· Experience building complex software systems that have been successfully delivered to customers· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· Ability to take a project from scoping requirements through actual launch of the project· Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.· Experience influencing software engineering best practices within your team· Hands-on expertise in disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between· Expertise in one or more AWS products/servicesAmazon is an Equal Opportunity-Affirmative Action Employer - Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation"
Software Developer,"· Bachelor’s Degree in Computer Science or related degree· 4+ years professional experience in software development· Computer Science fundamentals in object-oriented design· Computer Science fundamentals in data structures· Computer Science fundamentals in algorithm design, problem solving, and complexity analysis· Proficiency in Java, C#, Scala, or other similar programming languages.· Experience building complex software systems that have been successfully delivered to customers· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· Ability to take a project from scoping requirements through actual launch of the project· Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.· Experience influencing software engineering best practices within your team· Hands-on expertise in disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between· Expertise in one or more AWS products/servicesAmazon is an Equal Opportunity-Affirmative Action Employer - Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation"
QA Engineer,"· 3+ years of software quality assurance engineering experience· Knowledge of QA methodology and industry-standard testing and bug tracking tools· Experience with one scripting language· Experience driving quality through process, instrumentation, requirements and testing· Experience developing test strategies, test plans and test cases· Excellent verbal and written communication skills.· BS degree, preferably in Computer Science, engineering or other technical field· Experience with Selenium or other automation framework· Experience with usability best practices; able to influence and improve user experience· Experience with Android, iOS, or other mobile application development or testing· Proficiency with Python scripting· Experience communicating cross-functionally and across management levels in formal and informal settingsAmazon is an Equal Opportunity Employer-Minority/Female/Disability/Veteran/Gender Identity/Sexual Orientation"
Software Developer,"· Bachelor’s degree in Computer Science, Computer Engineering or related field· 2+ years professional experience in software development building consumer-facing iOS app· Have designed and developed a complete iOS app from top to bottom· 3+ years overall software development experience· 2+ years of development and debugging skills using Swift· 2+ years of experience performing Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis.· Master’s degree in Computer Science, Computer Engineering or related field· Have worked on Android companion apps for consumer electronics devices· Experience in multimedia streaming protocols such as WebRTC. Understanding of video and audio codecs.· Web Services and cloud experience as it relates to mobile apps· Development and debugging skills using C++ and Java· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation"
Software Developer,"· Bachelor’s degree in Computer Science, Computer Engineering or related field· 2+ years professional experience in software development building consumer-facing Android apps· 3+ years overall software development experience· 2+ years of development and debugging skills using Java· 2+ years of experience performing Computer Science fundamentals in object-oriented design, data structures, algorithm design, problem solving, and complexity analysis.· Master’s degree in Computer Science, Computer Engineering or related field· Have designed and developed a complete Android app from top to bottom· Have worked on Android companion apps for consumer electronics devices· Experience in multimedia streaming protocols such as WebRTC. Understanding of video and audio codecs.· Web Services and cloud experience as it relates to mobile apps· Development and debugging skills using C++· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operationsAmazon is an Equal Opportunity Employer – Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation"
Software Developer - Machine Learning,"· BS/MS in Computer Science or equivalent· 2+ years of industry experience· Programming expereince in one or more object-oriented languages like Java/Python/C#/Ruby/Objective C/C++· Proficiency in data structures, algorithm design, problem solving, and complexity analysis· Development experience in a Unix/Linux environment· Experience designing, building, deploying, operating, scaling, and evolving distributed systems.· Experience developing cloud software services and an understanding of design for scalability, performance and reliability.· Development experience defining, developing and maintaining REST based interfaces.· Excellence in technical communication with peers and non-technical cohorts.· Sharp analytical abilities and proven design skills.· Strong sense of ownership, urgency, and drive.· Demonstrated leadership abilities in an engineering environment in driving operational excellence and best practices.· Demonstrated ability to achieve stretch goals in a highly innovative and fast paced environment.Amazon is an Equal Opportunity-Affirmative Action Employer – Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation"
Software Developer,"· Bachelor’s degree in computer science or a related field· At least four years of experience writing production code of increasing complexity· Strong understanding of computer science fundamentals, including algorithms, complexity analysis, data structures, problem solving, and object-oriented analysis and design· Proficiency in at least one of the following: Java, C, C++, C#, Ruby, Python or other strong language· Experience refactoring code and evolving architectures· Experience crafting unit, integration, functional and regression tests.· Master’s degree in computer science or a related field· Experience developing in a Linux environment· Experience applying service-oriented architecture techniques to production use cases"
Software Developer,"· Bachelor’s degree in computer science or a related field· At least four years of experience writing production code of increasing complexity· Strong understanding of computer science fundamentals, including algorithms, complexity analysis, data structures, problem solving, and object-oriented analysis and design· Proficiency in at least one of the following: Java, C, C++, C#, Ruby, Python or other strong language· Experience refactoring code and evolving architectures· Experience crafting unit, integration, functional and regression tests.· Master’s degree in computer science or a related field· Experience developing in a Linux environment· Experience applying service-oriented architecture techniques to production use cases"
Software Developer,"· Bachelor’s degree in computer science or a related field· At least four years of experience writing production code of increasing complexity· Strong understanding of computer science fundamentals, including algorithms, complexity analysis, data structures, problem solving, and object-oriented analysis and design· Proficiency in at least one of the following: Java, C, C++, C#, Ruby, Python or other strong language· Experience refactoring code and evolving architectures· Experience crafting unit, integration, functional and regression tests.· Master’s degree in computer science or a related field· Experience developing in a Linux environment· Experience applying service-oriented architecture techniques to production use cases"
Software Developer,"· Bachelor’s degree in computer science or a related field· At least four years of experience writing production code of increasing complexity· Strong understanding of computer science fundamentals, including algorithms, complexity analysis, data structures, problem solving, and object-oriented analysis and design· Proficiency in at least one of the following: Java, C, C++, C#, Ruby, Python or other strong language· Experience refactoring code and evolving architectures· Experience crafting unit, integration, functional and regression tests.· Master’s degree in computer science or a related field· Experience developing in a Linux environment· Experience applying service-oriented architecture techniques to production use cases"
Software Developer,"· Bachelor’s Degree in Computer Science or related degree· 2+ years professional experience in software development· Computer Science fundamentals in object-oriented design· Computer Science fundamentals in data structures· Computer Science fundamentals in algorithm design, problem solving, and complexity analysis· Proficiency in Java, C#, Scala, or other similar programming languages.· Experience building complex software systems that have been successfully delivered to customers· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· Ability to take a project from scoping requirements through actual launch of the project· Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.· Experience influencing software engineering best practices within your team· Hands-on expertise in disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between· Expertise in one or more AWS products/servicesAmazon is an Equal Opportunity-Affirmative Action Employer - Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation"
Software Developer,"· Bachelor’s Degree in Computer Science or related degree· 4+ years professional experience in software development· Computer Science fundamentals in object-oriented design· Computer Science fundamentals in data structures· Computer Science fundamentals in algorithm design, problem solving, and complexity analysis· Proficiency in Java, C#, Scala, or other similar programming languages.· Experience building complex software systems that have been successfully delivered to customers· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations· Ability to take a project from scoping requirements through actual launch of the project· Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.· Experience influencing software engineering best practices within your team· Hands-on expertise in disparate technologies, typically ranging from front-end user interfaces through to back-end systems and all points in between· Expertise in one or more AWS products/servicesAmazon is an Equal Opportunity-Affirmative Action Employer - Minority / Female / Disability / Veteran / Gender Identity / Sexual Orientation"
Software Developer,"· 3+ years industry experience designing and producing software, and operating scalable systems· · Strong object-oriented design skills with understanding of common design paradigms· · Solid oral and written communication skills (operational runbooks, technical designs, business-facing communication)· · Bachelor's degree in computer science or related technical discipline.· Experience with Java or other object oriented languages.· · Champion of automated testing. Experience creating automated unit tests with mocked dependencies, system integration tests and load tests· · Ability to effectively articulate and drive solutions to technical and business challenges· · Master's degree in computer science or related technical discipline· · Experience building distributed multi-tiered systems that feature high throughput, low latency and high availability.· · Experience with cloud-based solutions, Amazon Web Services a plus.Amazon is an Equal Opportunity-Affirmative Action Employer - Minority/Female/Disability/Vet"
Software Developer,"· 3+ years industry experience designing and producing software, and operating scalable systems· · Strong object-oriented design skills with understanding of common design paradigms· · Solid oral and written communication skills (operational runbooks, technical designs, business-facing communication)· · Bachelor's degree in computer science or related technical discipline.· Experience with Java or other object oriented languages.· · Champion of automated testing. Experience creating automated unit tests with mocked dependencies, system integration tests and load tests· · Ability to effectively articulate and drive solutions to technical and business challenges· · Master's degree in computer science or related technical discipline· · Experience building distributed multi-tiered systems that feature high throughput, low latency and high availability.· · Experience with cloud-based solutions, Amazon Web Services a plus.Amazon is an Equal Opportunity-Affirmative Action Employer - Minority/Female/Disability/Vet"
Software Developer,"· Bachelor’s Degree in Computer Science, related field, or equivalent work experience.· 2+ years delivering production code in an object-oriented language such as Java, C/C++, Python, Objective-C, or C#.· Knowledge of data structures & algorithms..· Master’s Degree in Computer Science or related field.· Experience as a full-stack developer comfortable with front-end design as well as working with Very Large data sets (VLDBs).· Strong sense of ownership, urgency, and drive.· Demonstrated abilities driving operational excellence and best practices.· Demonstrated ability to achieve stretch goals in a highly innovative and fast paced environment.· Experience working with different kinds of customers--executives, CX users, data consumers, and others."
Web Developer,"· BS in Computer Science or related field· Proficiency in modern web development including HTML5, CSS, and Javascript frameworks (Angular JS, React, Backbone.js etc)· 2+ years of experience developing web-based user interfaces· Demonstrated passion for user experience and improving usability· Excellent communication skills, both written and verbal· Ability to work in a fast-paced and agile development environment and to learn new frameworks/stacks· Self-directed and capable of quickly shipping code in a dynamic environment.· Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, unit testing, code reviews, source control management, build processes, testing, and operations· Experience translating design mockups, prototypes and user stories into working applications· Understanding of web services technologies such as REST, SOAP, HTTP, JSON· Strong customer focus, ownership, urgency, and drive· Experience in development best practices including Agile development, peer code reviews and unit testing.· Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs.· "
Software Developer,"· Expert knowledge of one of the following programming languages: Java, C and C++· 7+ years of hands on experience in software development, including design, implementation, debugging, and support, building scalable system software and/or Services· Deep understanding of distributed systems and web services technology· Strong at applying data structures, algorithms, and object oriented design, to solve challenging problems· Experience working with REST and RPC service patterns and other client/server interaction models· Track record of building and delivering mission critical, 24x7 production software systems· Bachelor’s degree in Computer Science or equivalent.· Experience in taking a lead role developing complex software systems that have successfully been delivered to customers· Knowledge of professional software engineering practices & best practices for full software development life cycle, including coding standards, code reviews, source control management, build processes, testing and operations· Demonstrated ability to mentor other software developers in all aspects of their engineering skillsets· Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, product strategy and influence outcomes in technical decision-making· Experience working with in-memory caching and database technologies, including Memcached and Redis· Solid understanding of performance and efficiency with a strong customer focus· Master's degree in Computer Science or equivalent"
Software Developer,"· Expert knowledge of one of the following programming languages: Java, C and C++· 7+ years of hands on experience in software development, including design, implementation, debugging, and support, building scalable system software and/or Services· Deep understanding of distributed systems and web services technology· Strong at applying data structures, algorithms, and object oriented design, to solve challenging problems· Experience working with REST and RPC service patterns and other client/server interaction models· Track record of building and delivering mission critical, 24x7 production software systems· Bachelor’s degree in Computer Science or equivalent.· Experience in taking a lead role developing complex software systems that have successfully been delivered to customers· Knowledge of professional software engineering practices & best practices for full software development life cycle, including coding standards, code reviews, source control management, build processes, testing and operations· Demonstrated ability to mentor other software developers in all aspects of their engineering skillsets· Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, product strategy and influence outcomes in technical decision-making· Experience working with in-memory caching and database technologies, including Memcached and Redis· Solid understanding of performance and efficiency with a strong customer focus· Master's degree in Computer Science or equivalent"
Software Developer,"· Expert knowledge of one of the following programming languages: Java, C and C++· 7+ years of hands on experience in software development, including design, implementation, debugging, and support, building scalable system software and/or Services· Deep understanding of distributed systems and web services technology· Strong at applying data structures, algorithms, and object oriented design, to solve challenging problems· Experience working with REST and RPC service patterns and other client/server interaction models· Track record of building and delivering mission critical, 24x7 production software systems· Bachelor’s degree in Computer Science or equivalent.· Experience in taking a lead role developing complex software systems that have successfully been delivered to customers· Knowledge of professional software engineering practices & best practices for full software development life cycle, including coding standards, code reviews, source control management, build processes, testing and operations· Demonstrated ability to mentor other software developers in all aspects of their engineering skillsets· Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, product strategy and influence outcomes in technical decision-making· Experience working with in-memory caching and database technologies, including Memcached and Redis· Solid understanding of performance and efficiency with a strong customer focus· Master's degree in Computer Science or equivalent"
Software Developer,"Qualifications:• Candidates must have a Bachelor in Computer Science Engineering or related field.• Excellent problem solving skills.• Possess an extremely sound understanding of areas in the basic areas of Computer Science such as Algorithms, Data Structures, Object Oriented Design, Databases.• Be able to write Amazon quality code in an object oriented language - preferably in C/C++/Java in a Linux environment.• Candidate must have good written and oral communication skills, be a fast learner and have the ability to adapt quickly to a fast-paced development environment..• Bachelor’s Degree in Computer Science or related field• Equivalent experience to a Bachelor's degree based on 3 years of work experience for every 1 year of education• 5+ years professional experience in software development• Computer Science fundamentals in object-oriented design• Computer Science fundamentals in data structures• Computer Science fundamentals in algorithm design, problem solving, and complexity analysis• Proficiency in, at least, one modern programming language such as C, C++, Java, or Perl"
Software Developer,"· Bachelor’s degree or higher in Computer Science, Engineering or related field· 5+ years professional experience in commercial or web-scale system software development and delivery· Proven object-oriented design and implementation skills (Java, and/or C++), preferably on Linux· Proven understanding of scalable computing systems, software architecture, data structures and algorithms· Proficient in network, distributed, asynchronous and concurrent programming· Experience designing, building and delivering high quality software on time· Solid verbal and written communication skills.· Experience in Agile/SCRUM enterprise-scale software development· Experience building scalable infrastructure software or distributed systems· Demonstrated ability to achieve goals in a highly innovative and fast paced environment"
Senior Software Developer,"· BA/BS in Computer Science or related discipline, or equivalent work experience.· 7+ years of experience developing software in at least one of: Python, Ruby, Perl, and/or Java· Experience with the Linux operating system and user-level tool.· PhD/Master's degree in Computer Science or related field· Strong fundamentals in problem solving, algorithm design and complexity analysis· Excellent leadership, verbal and written communication skills.· Ability to work well with peers across multiple disciplines and job duties· Experience with distributed systems architecture and related technologies.· Solid understanding of software and system security· Superb troubleshooting and problem analysis skills· Experience with large scale systems.· Experience using AWS services· Experience with on-call operations"
Software Developer,"· Bachelor's degree in Computer Science (or equivalent experience)· 3+ years experience building successful production software systems· Experience defining system architectures and exploring technical feasibility tradeoffs.· Knowledge of professional software engineering techniques & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations..· Experience building solutions in distributed systems and/or developing large scale web applications· Experience with agile/iterative development and program management methodologies.· Development experience defining, developing and maintaining REST based interfaces· Experience with Machine Learning"
Software Developer,"· Bachelor's degree in Computer Science (or equivalent experience)· 3+ years experience building successful production software systems· Experience defining system architectures and exploring technical feasibility tradeoffs.· Knowledge of professional software engineering techniques & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations..· Experience building solutions in distributed systems and/or developing large scale web applications· Experience with agile/iterative development and program management methodologies.· Development experience defining, developing and maintaining REST based interfaces· Experience with Machine Learning"
Software Developer,"· Bachelor's degree in Computer Science (or equivalent experience)· 3+ years experience building successful production software systems· Experience defining system architectures and exploring technical feasibility tradeoffs.· Knowledge of professional software engineering techniques & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations..· Experience building solutions in distributed systems and/or developing large scale web applications· Experience with agile/iterative development and program management methodologies.· Development experience defining, developing and maintaining REST based interfaces· Experience with Machine Learning"
Software Developer,"· Bachelor's degree in Computer Science (or equivalent experience)· 3+ years experience building successful production software systems· Experience defining system architectures and exploring technical feasibility tradeoffs.· Knowledge of professional software engineering techniques & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations..· Experience building solutions in distributed systems and/or developing large scale web applications· Experience with agile/iterative development and program management methodologies.· Development experience defining, developing and maintaining REST based interfaces· Experience with Machine Learning"
Software Developer,"· Fluency with C and C++· Deep knowledge of Linux application development· In-depth knowledge of CS data structures and algorithms· Proven track record of customer obsession and teamwork· Strong problem solving ability and object-oriented design skills· Ability to excel in a fast-paced, startup-like environment· Bachelor’s degree (or higher) in Computer Science or a related discipline.· 5+ years of software development experience· Master’s degree (or higher) in Computer Science or a related discipline· Knowledge of ROS, Player Project, JAUS (SAE AS-4), and other robotic standards.· Experience developing software for robotic perception, sensor fusion, and decision making.· Experience with low-latency live streaming video applications· Experience building secure web applications· Experience building safety-critical software· Experience building extremely high volume and highly scalable web services· Experience building highly available systems and operating 24x7 services· Experience with realtime Linux application development and performance tuning"
Software Developer,"· BS/MS in Computer Science or equivalent experience.· 4+ years of professional experience with Software Development· Proficiency in at least one modern programming language, like Java, C/C++ or C#.· Strong software design and development skills.· Ability to communicate technical ideas with peers and non-technical peers.· Strong fundamentals in algorithm design, problem solving, complexity analysis and data structures..· Knowledge of speech technologies and Natural Language Processing· Experience with Machine Learning· Embedded software development"
