,job_title,keywords
0,Software Developer,"['software', 'design', 'software engineer', 'system', 'engineer', 'net', 'developer', 'web', 'java', 'technical']"
1,Drupal Developer,"['drupal', 'drupal developer', 'php', 'drupal php', 'developer', 'web', 'javascript', 'php javascript', 'nbsp', 'cs']"
2,Senior .Net Developer,"['net', 'net developer', 'senior net', 'asp net', 'developer', 'asp', 'software', 'sql', 'web', 'mvc']"
3,Java Developer,"['java', 'java developer', 'spring', 'software', 'developer', 'design', 'web', 'system', 'ee', 'client']"
4,Systems Engineer,"['system', 'system engineer', 'server', 'engineer', 'vmware', 'support', 'technical', 'management', 'network', 'window']"
5,.Net Developer,"['net', 'net developer', 'asp', 'asp net', 'developer', 'sql', 'software', 'web', 'design', 'mvc']"
6,Network Engineer,"['network', 'network engineer', 'wan', 'lan', 'firewall', 'router', 'system', 'support', 'engineer', 'switch']"
7,DevOps Engineer,"['devops', 'devops engineer', 'aws', 'engineer', 'linux', 'puppet', 'cloud', 'system', 'deployment', 'tool']"
8,Project Manager,"['project', 'management', 'project management', 'scrum', 'business', 'scrum master', 'agile', 'plan', 'program', 'client']"
9,Senior Mobile Developer,"['mobile', 'mobile developer', 'android', 'io', 'developer', 'environment', 'apps', 'software', 'sdk', 'building']"
10,SQL Developer,"['sql', 'data', 'sql developer', 'sql server', 'server', 'database', 'ssrs', 'ssis', 'business', 'developer']"
11,Web Developer,"['web', 'web developer', 'developer', 'javascript', 'cs', 'html', 'php', 'jquery', 'html cs', 'design']"
12,Senior Web Developer,"['web', 'web developer', 'developer', 'senior web', 'javascript', 'cs', 'html', 'html cs', 'design', 'senior']"
13,Network Administrator,"['network', 'network administrator', 'lan', 'router', 'administrator', 'system', 'switch', 'firewall', 'wan', 'router switch']"
14,Android Developer,"['android', 'android developer', 'mobile', 'sdk', 'android sdk', 'android development', 'java', 'developer', 'android engineer', 'development android']"
15,iOS Developer,"['io', 'io developer', 'io development', 'swift', 'mobile', 'objective', 'developer', 'objective swift', 'apps', 'app']"
16,Javascript Developer,"['javascript', 'javascript developer', 'developer', 'html', 'cs', 'web', 'html cs', 'react', 'node', 'end']"
17,Business Analyst,"['business', 'requirement', 'business analyst', 'analyst', 'project', 'system', 'process', 'user', 'management', 'analysis']"
18,Database Administrator,"['database', 'dba', 'database administrator', 'sql', 'data', 'administrator', 'mysql', 'server', 'backup', 'sql server']"
19,Data Scientist,"['data', 'data scientist', 'scientist', 'machine learning', 'machine', 'learning', 'business', 'statistical', 'mining', 'analytics']"
20,Data Analyst,"['data', 'data analyst', 'analyst', 'sql', 'business', 'analysis', 'excel', 'requirement', 'database', 'report']"
21,Senior Java Developer,"['java', 'java developer', 'senior java', 'spring', 'developer', 'software', 'hibernate', 'design', 'web', 'system']"
22,Senior Ruby on Rails Developer,"['rail developer', 'ruby rail', 'rail', 'ruby', 'senior ruby', 'developer', 'jquery', 'continuous', 'test driven', 'driven development']"
23,Full Stack Developer,"['full stack', 'stack', 'javascript', 'full', 'stack developer', 'web', 'developer', 'stack engineer', 'cs', 'html']"
24,Data Architect,"['data', 'data architect', 'architecture', 'data architecture', 'database', 'data integration', 'architect', 'design', 'modeling', 'data model']"
25,PHP Developer,"['php', 'php developer', 'developer', 'web', 'javascript', 'mysql', 'php mysql', 'cs', 'minimum php', 'html']"
26,Senior Network Engineer,"['network', 'network engineer', 'senior network', 'router', 'system', 'engineer', 'lan', 'firewall', 'wan', 'design']"
27,Front End Developer,"['cs', 'front end', 'javascript', 'front', 'html', 'end', 'html cs', 'end developer', 'developer', 'ui']"
28,Business Systems Analyst,"['business', 'system', 'requirement', 'business system', 'project', 'analyst', 'data', 'process', 'system analyst', 'technical']"
29,Hadoop Developer,"['hadoop', 'hadoop developer', 'data', 'hive', 'pig', 'hbase', 'big data', 'developer', 'mapreduce', 'centizen']"
30,Senior Data Scientist,"['data', 'data scientist', 'scientist', 'machine learning', 'senior data', 'machine', 'learning', 'business', 'python', 'mining']"
31,UX Designer,"['design', 'ux', 'user', 'designer', 'ui', 'ux designer', 'wireframes', 'product', 'web', 'interaction']"
32,Security Engineer,"['security', 'security engineer', 'system', 'vulnerability', 'network', 'information security', 'firewall', 'management', 'information', 'ip']"
