job_description,job_title
"Report this job About the Job Based in San Francisco, we are an award-winning software-as-a-service company. We serve many of the Fortune 100 companies in locations around the world. Currently, we are hiring a Principal QA Engineer to join our team. The ideal individual will have strong Java programming experience, knowledge of Selenium and other automated testing frameworks, and have experience working on large scale SaaS applications.If you are a Principal QA Engineer, Lead QA Engineer, or Software Developer in Test with Java experience, please read on!What You Will Be Doing- Collaborate with Engineers to build code and tools to build test suites for our SaaS applications- Lead a team of Software Engineers in Test- Continually improve speed, ease, and reliability of Automated testing in our environmentWhat You Need for this Position- 5+ years of experience in QA Automated testing tools and frameworks- Core Java programming experience- Proven experience with SQL and other databases- Hands-on experience with SaaS applicationsWhat's In It for You- Great salary ($150,000-$176,000/ year), comprehensive benefits, and generous PTO policy- Flexible, fun working environment- Work with cutting edge tools at a world-recognized companySo, if you are a Principal QA Engineer, Lead QA Engineer, or Software Developer in Test with Java experience, please apply today! Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×",Senior QA Engineer
"ResponsibilitiesCandidate will participate in a team of  C++ developers to create re-usable software components running in the QNX Operating System. A candidate must be able to quickly understand the application requirements and make smart decisions about the best solution to a problem.  Candidates must be able to collaborate with the team to create simple and supportable designs as well as participate in implementing designs. Candidate must be able to create accurate estimates of the time involved to finish tasks based on his own knowledge skills and abilities. Candidate must be able to write software that adheres to coding standards and is supportable as well as performance. Required Experience and Skills·       5+ Years’ Experience in C++, C# or Similar  C like  language·       Demonstrated ability to document and communicate designs/intentions using visual design methodologies·       Demonstrated ability to solve software problems via decomposition·       Demonstrated ability to work in multi-threaded applications·       Proficient with Object Oriented Design Concepts·       Familiar with Design Patterns·       Experience creating complex but efficient object-oriented designs·       Experience creating modular/reusable components·       Experience working in low memory environments ·       Experience working in a test driven methodology Additional Useful Experience·       Experience coding for the QNX Operating System·       Experience with Engine Management and Vehicle systems (J1939, CAN)·       Experience working in an Agile/Scrum Software Development team·       Experience in OpenGL,  OpenVG, or other Low-Level drawing systems·       Experience leading Scrum teams",Software Developer
"A Fortune 500 and worldwide leader in business aviation; specializing in Command and Control, Communications Networking, Rugged Computing, Information Assurance and Cyber Defense is searching for the right talent to fill this opportunity: Senior Software EngineerFort Wayne, IN 2016-2841Responsibilities:In this role you will:Work as a part of the software development team to implement and test software requirementsWork with other engineers, systems analysts, programmers, technicians, and top-level managers in the architecture and design of the software systemWork closely with the systems and test groups to ensure that the developed software meets the customers’ expectationsCreate scripts to build workflows or custom solutions to problemsWrite procedures, methods, workflow documents and standard operating proceduresAbility to exercise “attention to detail” and follow oral and written instructionsCommunicate effectively, both orally and in writing, help identify workflow inefficiencies and problems that can arise and helps develop workaroundsQualifications:Because this is a Government Contract, you must be a U.S. Citizen for consideration.Must have experience developing large applications in C++ using Microsoft Visual StudioShould have experience with the Standard Template Library (STL)Must have experience designing, writing, and debugging desktop applications for Microsoft WindowsMust be skilled in object-oriented design and applying design patternsCommunicates effectively and able to work as part of a software teamExperience in any of the following would be helpful:·         Experience with storing and retrieving using databases with SQL·         Experience creating user interfaces with Qt·         Experience with digital geographic mapping technologies·         Experience writing automated unit tests·         Experience with multi-threading, synchronization, and mutexs·         Familiarity with internet protocol networking (IP/TCP/UDP) and WinSock·         Experience with cross-platform development using GCC on Linux·         Knowledge of US Army operational doctrine or military domain·         User Interface development  Education and Experience:  Bachelor’s degree in Software Engineering, Electrical and/or Systems Engineering, Computer Science, a related technical field or the equivalent experience is required. In addition, a minimum of 8 years of relevant experience is required. Conditions of Employment:Applicants selected for employment will be required to pass a pre-employment drug screening and background investigation which may include education, criminal and work history verifications. About Our Company:Moseley Technical Services, Inc. is dedicated to providing our clients with a high standard of quality products and services. For two decades, our reputation has been built on this dedication and the long-term relationships developed with some of the most prestigious companies in the aerospace and defense industries.  These business relationships give you the opportunity to not only find a job but to find one you can value and enjoy. We will be dedicated to you and to making your career a success. Accepted applicants will have the opportunity to be eligible for benefits, including medical and supplemental insurance and a 401K. Appreciation and gratitude for employees is a hallmark of organizations with low turnover.  Moseley Technical Services, Inc. is an affirmative action and equal opportunity employer. Join a team that values your experience!",Software Developer
"RESPONSIBILITIES:A growing and established company in the Tucson, AZ area is looking for a Senior Applications Engineer. We are looking for candidates nationwide willing to relocate to the Tucson, AZ metro area. Once again the position is in the Tucson, AZ metro area. We are working directly with the Hiring Manager.Essential functions and Responsibilities: Provide technical support to customers to determine major design challenges and partner with them to create solutions that focus on ease-of-use and added-value including electrical and software design Present technical seminars and training sessions to customers, representatives and distributors Publish technical articles Design evaluation kits Engage with customers to help them define new products and uncover opportunities for future product development Act as a technical bridge between the customer and factory to help solve complex technical problems or develop competitive, high-performance working proposals for customers Promote the company's products and providing appropriate technical solutions to customers to help solve their design challenges Work with design and marketing teams to successfully launch new products into the market Work in the Engineering lab tackling problems and delivering innovative development solutions to support the company's products and drive revenue Perform failure analysis to determine the root cause of field failures Perform other related duties as requested or requiredREQUIREMENTS: At least a Bachelor's degree in Electrical Engineering or a related field At least 5 years Applications or Design Engineering experience including some experience with software developmentKnowledge, Skills and Abilities Required: Strong and broad knowledge of analog and/or digital circuits Good understanding of schematics, layouts, analog and power circuitry Experienced in Spice simulation Experience with Power analog and voltage reference products is highly desired Experience with C/C++, Perl, VB or other programming languages Experience with Controls engineering is a plus but not required Excellent analytical problem solving skills are required Strong communication skills and the ability to collaborate effectively with people in different functions Strong customer facing experience and presentation skills Any knowledge, skills and/or abilities required to perform the job",Senior Software Developer
"Software Developer III  Position currently located in Houston, TX but telecommuting option is available.  Responsibilities include the development & maintenance of database schema to support business requirements, TSQL programming, ETL solutions to convert source data into line-of-business applications, procedures to insure data integrity & accuracy; Development & maintenance of corporate data warehouse & BI implementations; Contribute to development & maintenance of data warehouse, ETL processes, & OLTP system; Create stored procedures, functions, triggers, CLR code in T-SQL to provide solutions to business problems; Work with a team of analysts to promote best practices in the organization; Data conversion project planning; Communicate project status with management; Vendor / data source interaction.  MINIMUM REQUIREMENTS: Bachelor’s degree in Information Technology or Management Information Systems & 5 years of experience in database, to include experience with Microsoft SQL Server 2005/2008, T-SQL, SSIS, SSAS, SSRS, Maintenance plans & methods; experience in Mist IDE and BIML Script development, application integration, data file formats & transmission protocols.  Hours are M-F 8:00 a.m. to 5:00 p.m. Eastern Time. Please submit resumes by mail to American Credit Acceptance, Attn: Dana Gottman, 961 East Main Street, Spartanburg, SC 29302, or by email to dana.gottman@acacceptance.com      ",Software Developer
"As a key member  of the Interactive Platform D&D team, the Technical Engagement Manager works closely with different groups and stakeholders, Agile Directors, Enterprise Architect, other entities to facilitate technical communications and coordinate the delivery, resolve issues of multiple projects from globally diverse teams.  The Technical Engagement Manager is responsible for ensuring that project delivery is of high quality, globally consistent, strategically aligned, and meets customer requirements Technical Engagement Manager’s primary responsibility is to coordinate and facilitate timely and consistent  interaction of the globally disparate teams that contribute to the overall delivery of commercially available products Timely closure of queries and issues different teams like systems and NMG Provide stakeholders with timely and accurate information to be used in corrective or business as usual progress initiatives Provides technical consultation to local teams and global team within the organization consistent with the architectural principals of the Enterprise Architect Work on some stories that interfaces with other products Successfully communicating conceptual  ideas and design rationale to culturally diverse audiences Keeps the team members informed of changes in design decisions, processes and policies. Assists in the definition and implementation of solutions that will improve the global consistency of product performance, quality, processes and standards. Ensures team members are following agreed product designs and Aristocrat’s guidelines and coding standards. Mentors and guides team members on proper use of Aristocrat approved technology. Ensures the production of quality software artifacts from  teams and any issue resolutions Ensure quality code is delivered by teams to avoid broken builds that can cause delays to the team. Certifies that teams follow Company programming standards. Focused on cross team success. Works well in a team environment. Assists team members in all areas to achieve successful sprints and retrospectively provides feedback for continuous improvement. Strong understanding of the Agile scrum methodology and how to work within an agile scrum environment across geographic boundaries. Performs other duties as assigned.",Software Developer
"RESPONSIBILITIES:Kforce has a client that is seeking a Principal Java Developer in Doral, Florida (FL).Responsibilities: Design and Delivery of complex software projects Build solutions in an agile workflow Architect and prototype new solutions and ideas Review code of other team members and provide technical feedback and/or other mentoring duties Scaling software as use of your application grows Mentoring others in the organization Stay up-to-date on the latest industry trends and look for ways to implement new ideas to continually improve your projectsREQUIREMENTS: BS in Computer Science or related discipline Minimum 10 years of experience in software development using Java and related technologies Experienced in Scrum and Agile Methodologies Minimum 5 years of experience developing solutions using Spring Framework Demonstrated experience with Java including project and dependency management with tools like Maven or Gradle Experienced with Web Development using JavaScript Frameworks / Libraries Proven ability to design scalable web services, preferably RESTful Understanding of Java concurrency Experience with Cloud computing (AWS) and No SQL databases (Cassandra) or SOLR is a big plus Experience building Integration solutions using Spring Integration or Camel Experienced building out solutions using workflow tools like Activiti, JMS provider like ActiveMQ Experienced with software practices of Continuous Integration and automated testing Commitment to understanding the business domain Commitment to incorporating quality software practices into all phases of the project life lifecycle Strong problem solving and decision making skills Team player with very good communication skills Self-motivated professional who demonstrates strong technical agility and responsiveness and who is eager to learn and grow within a consulting-like Technology Services organizationKforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.",Senior Java Developer
"Report this job About the Job If you are a .NET Developer with a few years of experience, please read on!Located in Las Vegas, Nevada, we are a leading global provider of technology solutions to the hospitality industry by designing, creating, and integrating cutting-edge technology. If you are looking to join a passionate and motivated team that also knows how to have fun with amazing growth potential, then look no further!What You Will Be Doing-We’re developing products in the cloud that would have traditionally been desktop applications. -Understanding the latest AJAX, JQuery, and various JavaScript frameworks is a key to success.-You are very well versed with each tool in your possession, and could teach someone a new trick with each.-We know we can’t rush great things, but we’ve got some serious deadlines. Your organization and project management make it happen.-You will have many projects that you are part of, as well as a few you are responsible for.What You Need for this PositionRequired:- Bachelor's Degree in Computer Science, Software Development, or of an work experience- At least 3 years of relevant experienceSkills that we are looking for:-Visual Basic.NET-C#-Visual Basic 6 -HTML5-Javascript-JQUERY-JSON-AJAX-XML/SOAP-Web Services (WCF, ASMX, REST)-Entity Framework-T-SQL-MS SQL Server-ASP.NET-ADO.NET-DAO-Client/Server programming-TCP/IP NetworkingPlus:-Web Forms-MSTEST/XUnit-Angular-Photoshop, graphics skills-Telerik Controls -DevExpressWhat's In It for You- Competitive Salary ($60k - $80k) DOE- Vacation/PTO- Medical- Dental- Vision- 401(k)So, if you are a .NET Developer with experience, please apply today! **You can also send your most updated resume to Ivan.Woo@CyberCoders.com** Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×",.Net Developer
"Report this job About the Job We are a well funded established IT start-up company located in Las Vegas. If you are looking to join a company that is growing at tremendous pace this is definitely the opportunity for you. We're looking for strong creative, motivated developers who are up on the latest IT trends and are looking for new and exciting opportunities. We're currently looking to hire a full-time Android Engineer to join our team.What You Will Be DoingYou will be responsible for new features and improvements for the mobile app, working as a part of our in-house mobile team which covers Android and iOS development.- Develop mobile applications for the Android mobile operating systems.- Develop user interfaces that are intuitive, usable, visually appealing and easy to learn.- Develop software requirements specifications and software design specifications.- Develop working, readable, testable, scalable, maintainable, and quality source code.- Deliver materials on time, on budget, and of high quality.What You Need for this Position- BS in Computer Science or Computer Engineering or equivalent experience.- A solid foundation in data structures, algorithms and software design.- At least two years experience in Android development.- Passionate about Android and always up to date with platform changes, new features, and new user interactions as they are released by Google.- 3+ years of native mobile app development experience.- You know Java like the back of your hand and can consistently deliver testable, scalable, highly-readable code using OO best practices.- You understand the nuances of developing on Android across multiple hardware devices.- You have at least one native Android app in the Google Play store.- You are good at evaluating and integrating libraries, SDKs and APIs on Android.- You are comfortable with GIT or other source control software.So, if you are an Android Developer with a passion for mobile application development and at least 1 published application, please apply today! Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×",Android Developer
"Report this job About the Job Android Front End DeveloperLocation: Las Vegas, NVSalary: $85k-$110kTop Reasons to Work with Us1. We are rapidly growing and envision our user base to be close to 2 million by middle of 20172. Have the chance to join a funded start-up with the ability to make an immediate impact from day one on the future direction of the company3. Great compensation package and benefits with unlimited PTOWhat You Will Be DoingCreate easy-to-use applications in an agile environmentPlan and execute user research with design, engineering and product management teamsInfluence design decisions through analysis and design choicesCreate prototypes and validate designs through formal and informal user testingParticipate in 30% design and 70% developmentWhat You Need for this Position- Visual / Interaction / UI / UX Design- Consumer facing, product development experience- Mobile design/ DevelopmentUser Testing / Information ArchitectureHTML / CSS / Front End Web DevelopmentStrong portfolio demonstrating design capabilities and experienceSo, if you are a Mobile Front End Developer with 3 years of web development experience, please apply today! Or simply send your resume to: Lauren@Cybercoders.com Report Previous Next {""Caption"":"""",""Images"":[{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/1.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/2.jpg"",""Title"":null,""Text"":null,""Caption"":null},{""Src"":""//media.newjobs.com/mm/xcybercx/cjt1/3.jpg"",""Title"":null,""Text"":null,""Caption"":null}]} ‹ › ×",Android Developer
